Uploaded On,Agency,Description of Requirements,Value,Award Type,Award Status,Procurement Identifier,Modification Number,Reason for Modification,Date Signed,Agency ID,Office ID,Office Name,Vendor ID,Vendor Legal Business Name,Vendor Congressional District,Vendor Zip+4,Vendor Business Types,Vendor Socio-Economic Data,Vendor Certifications,Product/Service Code,Product/Service Description,NAICS Code,NAICS Description,FPDS Source Link
2/11/25,CONSUMER FINANCIAL PROTECTION BUREAU,Washington Post Subscription,"$127,398 ",Purchase Order,Final,955F9531CB25P0014,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,YQE9NP51VLM4,WP COMPANY LLC,DISTRICT OF COLUMBIA 98,200053317,Partnership or Limited Liability Partnership,,,7630,NEWSPAPERS AND PERIODICALS,513110,NEWSPAPER PUBLISHERS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0014&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Cybersecurity Support Services BPA Order - Safeguards and Risk
Management (SRM)","$10,818,787 ",BPA Call,Final,2036 20343024F00002,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,JY2BDT2K58Z6,MANTECH ADVANCED SYSTEMS INTER,VIRGINIA 11,201714839,"Corporate Entity, Not Tax Exempt",,,DJ01,IT AND TELECOM - SECURITY AND COMPLIANCE SUP,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00002&modNumber=P00006&idvAgencyID=&idvPIID=20343023A00006&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Cybersecurity Support Services BPA Order - Security Architecture
and Engineering (SAE)","$5,405,885 ",BPA Call,Final,2036 20343024F00005,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,F9KSDU7L9VP6,DELOITTE & TOUCHE LLP,VIRGINIA 08,222091742,Partnership or Limited Liability Partnership,,,DJ01,IT AND TELECOM - SECURITY AND COMPLIANCE SUP,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00005&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00003&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for the Convenience of the Government,"$5,000,000 ",BPA,Final,955F 9531CB21A0016,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,VNAYDLRGSKU3,"URBAN INSTITUTE,THE",DISTRICT OF COLUMBIA 98,200242131,"Corporate Entity, Tax Exempt",,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0016&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D003Z&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for the Convenience of the Government,"$5,000,000 ",BPA,Final,955F9531CB21A0015,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,EPE8N2747L14,TREWON TECHNOLOGIES LLC,VIRGINIA 10,201764475,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0015&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D00DQ&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for the Convenience of the Government,"$5,000,000 ",BPA,Final,955F9531CB21A0019,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,V71FRUGWJMM3,ENCOMPASS LLC,MARYLAND 08,209105644,"Corporate Entity, Not Tax Exempt",Women-Owned Business,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0019&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA19D00BV&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for the Convenience of the Government,"$5,000,000 ",BPA,Final,955F9531CB21A0017,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,NVUWAFWQ57S5,"WESTAT, INC.",MARYLAND 08,208503129,"Corporate Entity, Tax Exempt",,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0017&modNumber=P00002&idvAgencyID=&idvPIID=GS00F009DA&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for the Convenience of the Government,"$5,000,000 ",BPA,Final,955F9531CB21A0012,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,LT42VRTKZGS9,2M RESEARCH SERVICES LLC,TEXAS 25,760115522,"Corporate Entity, Not Tax Exempt",Black American Owned,"SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0012&modNumber=P00002&idvAgencyID=&idvPIID=GS00F216GA&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for the Convenience of the Government,"$5,000,000 ",BPA,Final,955F 9531CB21A0013,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,C9S1NLQ67626,ABT GLOBAL LLC,MARYLAND 08,208524907,"Corporate Entity, Not Tax Exempt",,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0013&modNumber=P00002&idvAgencyID=&idvPIID=GS00F252CA&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for the Convenience of the Government,"$5,000,000 ",BPA,Final,955F9531CB21A0014,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,CSPNRK2TA2X3,FORS MARSH GROUP LLC,VIRGINIA 08,222031665,"Corporate Entity, Not Tax Exempt, For Profit Organization, Limited Liability Corporation",,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541910,MARKETING RESEARCH AND PUBLIC OPINION POLL,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0014&modNumber=P00002&idvAgencyID=&idvPIID=GS00F348CA&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,,"$4,457,776 ",,,,,,,,,,,,,,,,,,,,,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0078&modNumber=P00006&idvAgencyID=&idvPIID=9531CB23A0018&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,508 Support Services - termination,"$3,713,712 ",Definitive Contract,Final,955F9531CB23C0008,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,GPVGL2T8SN53,AMA CONSULTING LLC,MARYLAND 04,207066235,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICA,541512,COMPUTER SYSTEMS DESIGN SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0008&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Cybersecurity Support Services - Information Security Standards
(ISS)","$3,441,633 ",BPA Call,Final,2036 20343024F00004,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,U17XQAKKMPT7,"GUNNISON CONSULTING GROUP, INC.",VIRGINIA 11,220314516,"Corporate Entity, Not Tax Exempt
For Profit Organization",,,DJ01,IT AND TELECOM - SECURITY AND COMPLIANCE SUP,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00004&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00005&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,IT Research & Advisory Subscriptions,"$3,437,246 ",Delivery/Task Order,Final,20343022F00009,P00007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,CFALLJBGZ697,"GARTNER, INC.",CONNECTICUT 04,069027700,"Corporate Entity, Not Tax Exempt",,,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00009&modNumber=P00007&idvAgencyID=&idvPIID=47QTCA18D008L&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Economic Analysis Expert - termination,"$3,299,900 ",Definitive Contract,Final,955F9531CB20C0016,P00007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0016&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,,"$1,673,640 ",,,,,,,,,,,,,,,,,,,,,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021A00005&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,AUTO-LOAN-SERVICING EXPERT - termination,"$1,619,850 ",Definitive Contract,Final,955F9531CB21C0007,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,,,,R418,SUPPORT- PROFESSIONAL: LEGAL,922130,LEGAL COUNSEL AND PROSECUTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0007&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Expert Witness and Testing Services BPA,"$1,396,381 ",BPA,Final,20343021A00007,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021A00007&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for Convenience of the Government - Complete,"$1,380,420 ",Definitive Contract,Final,955F9531CB21C0025,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,EAWFFKL7KQJ4,"ANALYSIS GROUP, INC.",07,021997667,"Corporate Entity, Not Tax Exempt",,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0025&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Tableau Licenses - Termination for Convenience,"$1,244,995 ",Delivery/Task Order,Final,955F9531CB23F0076,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,FBRMCGPMN963,ENTERPRISE TECHNOLOGY SOLUTION,MARYLAND 04,207401346,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",SBA Certified HUBZone Firm,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0076&modNumber=P00003&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Consumer Survey - Pilot - Termination for Convenience - Full,"$1,139,381 ",BPA Call,Final,955F9531CB23F0071,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,QHBLBNKKV4U3,"ICF INCORPORATED, L.L.C.",VIRGINIA 11,201905231,"For Profit Organization
Limited Liability Corporation",,,AF11,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVC",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0071&modNumber=P00005&idvAgencyID=&idvPIID=9531CB20A0007&contractType=AWARD
