Date Updated,Agency,Contracting Office Agency ID,Agency Office Name,Agency Office ID,Funding Agency Name,Funding Agency ID,Funding Office Name,Funding Office ID,Contract Date Signed,Award Status,Award Type,Modification Number,Procurement Identifier,Modification Reason, Ceiling Value , Value ,NAICS Code,NAICS Description,Performance Start Date,Product/Service Code,Product/Service Description,Description of Requirements,Vendor Entity ID,Vendor Legal Business Name,Vendor Business Types,Vendor Certifications,Congressional District,Vendor Socio-Economic Data,Vendor Zip+4,FPDS Source
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/13/25,Final,Delivery/Task Order,P00002,2036 20343024F00022,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $92,135.00 ", $-   ,541519,OTHER COMPUTER RELATED SERVICES,4/1/24,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,BeyondTrust Licenses- POP Change,TQ2KDQLRL8F1,BAHFED CORP,"Corporate Entity, Not Tax Exempt","SBA Certified HUBZone Firm
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",OREGON 01,"Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Veteran-Owned Business",972053063,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00022&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD09B&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/24/25,Final,Purchase Order,P00001,955F9531CB24P0021,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $291,950.00 ", $-   ,518210,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA P",9/9/24,B506,SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SC,"Mortgage Rate Lock Data - Termination for the Government's
(Limit 250 characters)
Convenience - Full",UJKDGD5MJ4R1,"OPTIMAL BLUE, LLC","Corporate Entity, Not Tax Exempt",,TEXAS 04,,750243357,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0021&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/20/25,Final,Delivery/Task Order,P00001,955F9531CB24F0085,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $341,150.00 ", $-   ,541519,OTHER COMPUTER RELATED SERVICES,9/3/24,R402,SUPPORT- PROFESSIONAL: REAL ESTATE BROKERA,OFLEO/ENF Foreclosure Data - Termination for Convenience - Full,EJJMMJHYDFH6,SOFTWARE INFORMATION RESOURCE,"Corporate Entity, Not Tax Exempt",Self-Certified Small Disadvantaged Business,DISTRICT OF COLUMBIA 98,"Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",200372500,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0085&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/12/25,Final,Delivery/Task Order,P00006,2036 20343020F00068,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $401,733.00 ", $-   ,541519,OTHER COMPUTER RELATED SERVICES,9/30/20,7030,INFORMATION TECHNOLOGY SOFTWARE,IBM i2 Analyst Notebook Licenses and Software Subscription for CFPB,R98MW4ZKUUK3,"GOVERNMENT ACQUISITIONS, INC.","Corporate Entity, Not Tax Exempt",,OHIO 01,"Service-Disabled Veteran-Owned Business
Veteran-Owned Business
For Profit Organization
Subchapter S Corporation",452021400,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020F00068&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SD23B&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/24/25,Final,Definitive Contract,P00007,2036 20343021C00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $427,368.00 ", $-   ,511210,SOFTWARE PUBLISHERS,6/1/21,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,Relational Junction SW Renewal,CQ9ZBWGRHA29,"SESAME SOFTWARE, INC.","Corporate Entity, Not Tax Exempt",,CALIFORNIA 17,,950541140,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021C00003&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/21/25,Final,Delivery/Task Order,P00001,955F9531CB24F0075,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $446,087.00 ", $-   ,541519,OTHER COMPUTER RELATED SERVICES,7/29/24,7B20,IT AND TELECOM - HIGH PERFORMANCE COMPUTE (,Cisco SmartNet Maintenance - Termination for Convenience,JEANDJTZ8HJ3,"FCN, INC.","Corporate Entity, Not Tax Exempt",,MARYLAND 08,"Women-Owned Business
Women-Owned Small Business",208521741,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0075&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC71B&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/13/25,Final,Delivery/Task Order,P00005,20343021F00033,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $467,095.00 ", $-   ,541519,OTHER COMPUTER RELATED SERVICES,4/12/21,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,Nuvolo IWMS Licenses,UYLVJZ49BFC6,"4 STAR TECHNOLOGIES, INC.","Corporate Entity, Not Tax Exempt",SBA Certified HUBZone Firm,VIRGINIA 02,"Service-Disabled Veteran-Owned Business
Veteran-Owned Business",234515898,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00033&modNumber=P00005&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/13/25,Final,Delivery/Task Order,P00004,2036 20343023F00019,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $512,500.00 ", $-   ,541519,OTHER COMPUTER RELATED SERVICES,3/6/23,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,YubiEnterprise Compliance Tier Plus Plan,DJACUETFQUL8,"GOVSMART, INC.","Corporate Entity, Not Tax Exempt","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",VIRGINIA 05,"Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
All Awards",229035203,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00019&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD11B&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/12/25,Final,Delivery/Task Order,P00002,2036 20343024F00034,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $576,384.00 ", $-   ,561450,CREDIT BUREAUS,5/15/24,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,Consumer Credit Information Panel Auto Finance Data Collection,JZDMDG543QU1,"EXPERIAN INFORMATION SOLUTIONS,","Corporate Entity, Not Tax Exempt",,CALIFORNIA 47,,926267037,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00034&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/12/25,Final,BPA,P00004,20343023A00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $730,000.00 ", $-   ,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,8/1/23,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEM,National Institute for Trial Advocacy (NITA) BPA,X3PRZEUFX357,NATIONAL INSTITUTE FOR TRIAL ADVO,"Corporate Entity, Tax Exempt",,COLORADO 02,,800271130,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023A00001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/20/25,Final,BPA,P00002,955F9531CB21A0016,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $5,000,000.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/14/21,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,Termination for the Convenience of the Government,VNAYDLRGSKU3,"URBAN INSTITUTE,THE","Corporate Entity, Tax Exempt",,DISTRICT OF COLUMBIA 98,,200242131,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0016&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D003Z&contractType=IDV
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/20/25,Final,BPA,P00003,955F9531CB21A0015,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $5,000,000.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/2/21,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,Termination for the Convenience of the Government,EPE8N2747L14,TREWON TECHNOLOGIES LLC,"Corporate Entity, Not Tax Exempt","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",VIRGINIA 10,"Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",201764475,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0015&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D00DQ&contractType=IDV
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/20/25,Final,BPA,P00002,955F9531CB21A0019,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $5,000,000.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/2/21,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,Termination for the Convenience of the Government,V71FRUGWJMM3,ENCOMPASS LLC,"Corporate Entity, Not Tax Exempt",,MARYLAND 08,Women-Owned Business,209105644,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0019&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA19D00BV&contractType=IDV
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/20/25,Final,BPA,P00002,955F9531CB21A0017,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $5,000,000.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/9/21,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,Termination for the Convenience of the Government,NVUWAFWQ57S5,"WESTAT, INC.","Corporate Entity, Tax Exempt",,MARYLAND 08,,208503129,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0017&modNumber=P00002&idvAgencyID=&idvPIID=GS00F009DA&contractType=IDV
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/21/25,Final,BPA,P00002,955F9531CB21A0012,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $5,000,000.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/7/21,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,Termination for the Convenience of the Government,LT42VRTKZGS9,2M RESEARCH SERVICES LLC,"Corporate Entity, Not Tax Exempt",SBA Certified 8(a) Program Participant,TEXAS 25,Black American Owned,760115522,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0012&modNumber=P00002&idvAgencyID=&idvPIID=GS00F216GA&contractType=IDV
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/21/25,Final,BPA,P00002,955F9531CB21A0013,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $5,000,000.00 ", $-   ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,9/7/21,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,Termination for the Convenience of the Government,C9S1NLQ67626,ABT GLOBAL LLC,"Corporate Entity, Not Tax Exempt",,MARYLAND 08,,208524907,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0013&modNumber=P00002&idvAgencyID=&idvPIID=GS00F252CA&contractType=IDV
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/21/25,Final,BPA,P00002,955F9531CB21A0014,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $5,000,000.00 ", $-   ,541910,MARKETING RESEARCH AND PUBLIC OPINION POLL,9/2/21,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,Termination for the Convenience of the Government,CSPNRK2TA2X3,FORS MARSH GROUP LLC,"Corporate Entity, Not Tax Exempt",,VIRGINIA 08,,222031665,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0014&modNumber=P00002&idvAgencyID=&idvPIID=GS00F348CA&contractType=IDV
2/18/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/5/25,Final,BPA Call,P00002,955F9531CB20F0092,CLOSE OUT," $94,315.00 ", $1.00 ,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,7/27/20,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,Closeout Mod.,V1XQY4SUJN25,"DIAMOND, VIRGINIA M","Corporate Entity, Not Tax Exempt",,VIRGINIA 11,"Women-Owned Business
Women-Owned Small Business",221241904,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0092&modNumber=P00002&idvAgencyID=&idvPIID=9531CB18A0002&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/24/25,Final,Definitive Contract,P00002,955F9531CB23C0023,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $40,800.00 "," $17,568.00 ",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,7/27/23,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,"Expert Contract-GLM-LD modification to terminate for convenience of
the Government",CK69RC2AMAK6,GREAT LAKES MARKETING ASSOCIATE,"Corporate Entity, Not Tax Exempt",,OHIO 09,"Women-Owned Business
Women-Owned Small Business",436061337,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0023&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,Consumer Financial Protection Bureau,2036,ARC DIV PROC SVCS - CFPB,203430,CONSUMER FINANCIAL PROTECTION BUR,955F,CONSUMER FINANCE PROTECTION BUREA,9531CB,2/12/25,Final,Delivery/Task Order,P00002,2036 20343024F00039,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL)," $26,322.00 "," $26,322.00 ",561450,CREDIT BUREAUS,9/30/24,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,Making Ends Meet - Credit Panel Data for Previous Survey,JZDMDG543QU1,"EXPERIAN INFORMATION SOLUTIONS,","Corporate Entity, Not Tax Exempt",,CALIFORNIA 47,,926267037,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00039&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD
