Agency,Description,Uploaded On,Link,Value,basic_contract_info_idv_or_award_type,basic_contract_info_idv_or_award_status,basic_contract_info_procurement_identifier,basic_contract_info_modification_number,basic_contract_info_reason_for_modification,basic_contract_info_date_signed,agency_info_contracting_office_agency_id,agency_info_contracting_office_office_id,agency_info_contracting_office_office_name,agency_info_funding_office_agency_id,agency_info_funding_office_agency_name,agency_info_funding_office_office_id,agency_info_funding_office_office_name,contractor_info_unique_entity_id,contractor_info_legal_business_name,contractor_info_congressional_district,contractor_info_zip,contractor_info_business_types,contractor_info_socio_economic_data,contractor_info_certifications,contract_details_performance_start_date,contract_details_last_date_to_order,contract_details_major_program,contract_details_product_service_code,contract_details_product_service_description,contract_details_naics_code,contract_details_naics_description,contract_details_requirement_description,processing_error
COMMODITY FUTURES TRADING COMMISSION,Travel Support Services,3/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24C0010&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$2,709,934 ",Definitive Contract,Final,9523ZY24C0010,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/3/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,JJU3WFH9A515,BG CONSULTING SERVICES LLC,FLORIDA 16,342115537,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Women-Owned Business
Women-Owned Small Business (WOSB) Joint Venture eligible under the
WOSB Program
Small Business Joint Venture
Service-Disabled Veteran-Owned Business Joint Venture","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",5/1/24,,,R499,SUPPORT- PROFESSIONAL: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,"Travel Support Services
Current: 62",
COMMODITY FUTURES TRADING COMMISSION,Expert witness support services,3/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY23C0016&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$3,495,568 ",Definitive Contract,Final,9523ZY23C0016,P00009,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/4/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,C47BNA8GM833,ACCENTURE FEDERAL SERVICES LLC,VIRGINIA 08,222032149,"Corporate Entity, Not Tax Exempt",,,7/14/23,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SE,Expert Consulting Services,
COMMODITY FUTURES TRADING COMMISSION,Training Support Services,3/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21C0029&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,123,602 ",Definitive Contract,Final,9523ZY21C0029,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/5/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,NLSBAKHB8VD9,AVANTGARDE LLC,TEXAS 31,786645120,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation","Minority-Owned Business
Hispanic American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
Self-Certified Small Disadvantaged Business",9/12/21,,,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEV,541612,HUMAN RESOURCES CONSULTING SERVICES (2007),Training Support Services,
COMMODITY FUTURES TRADING COMMISSION,Executive Coaching Services,3/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY20C0021&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD,"$2,445,470 ",Definitive Contract,Final,9523ZY20C0021,P00009,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/4/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,HC5MCXU3VMK3,BLOOMSBURIE LLC,VIRGINIA 08,222074444,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Asian-Pacific American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",9/28/20,,,R431,SUPPORT- PROFESSIONAL: HUMAN RESOURCES,541612,HUMAN RESOURCES CONSULTING SERVICES (2007),Executive Coaching Services,
COMMODITY FUTURES TRADING COMMISSION,Policy Program Support Services,3/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24F0060&modNumber=P00002&idvAgencyID=&idvPIID=9523ZY24A0002&contractType=AWARD,"$386,531 ",BPA Call,Final,9523ZY24F0060,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/4/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,F9KSDU7L9VP6,DELOITTE & TOUCHE LLP,VIRGINIA 08,222091742,Partnership or Limited Liability Partnership,For Profit Organization,,9/27/24,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541519,OTHER COMPUTER RELATED SERVICES,Policy Program Management Support,
COMMODITY FUTURES TRADING COMMISSION,Strategic Program Management and Communications,3/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24F0057&modNumber=P00002&idvAgencyID=&idvPIID=9523ZY24A0002&contractType=AWARD,"$575,167 ",BPA Call,Final,9507 9523ZY24F0057,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/4/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,F9KSDU7L9VP6,DELOITTE & TOUCHE LLP,VIRGINIA 08,222091742,Partnership or Limited Liability Partnership,,,9/18/24,,,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMEN,541519,OTHER COMPUTER RELATED SERVICES,Strategic Program Management and Communications task under BPA,
COMMODITY FUTURES TRADING COMMISSION,Personnel/Physical Security Support Services,3/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22C0010&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,842,114 ",Definitive Contract,Final,9523ZY22C0010,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/4/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,YJ27BFDDW5Z3,HUMAN CAPITAL RESOURCES AND CO,FLORIDA 18,338803412,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Black American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",9/1/22,,,R430,SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AN,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Personnel/Physical Security,
COMMODITY FUTURES TRADING COMMISSION,Renew the annual subscription to CQ for 30 users in accordance with Section I - Statement of Work (SOW).,3/5/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24F0025&modNumber=P00001&idvAgencyID=&idvPIID=03310323D0031&contractType=AWARD,"$146,550 ",Delivery/Task Order,Final,9523ZY24F0025,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/26/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,FMHKL71EGBX7,"FISCALNOTE, INC.",98,200042460,"Corporate Entity, Not Tax Exempt",,,6/7/24,,,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,"Renew the annual subscription to CQ for 30 users in accordance with
(Limit 250 characters)
Section I - Statement of Work (SOW).",
COMMODITY FUTURES TRADING COMMISSION,ONLINE SUBSCRIPTION TO MLEX FOR FINANCIAL SERVICES REGULATION AND DIGITAL RISK FOR UP TO 200 USERS,3/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21P0045&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$109,602 ",Purchase Order,Final,9507,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),3/10/25,9507,9523ZY,COMMODITY FUTURES TRADING COMM,9507,COMMODITY FUTURES TRADING COMMISS,9523ZY,COMMODITY FUTURES TRADING COMM,LKAAJG8KK4U1,RELX INC.,OHIO 10,453424425,"Corporate Entity, Not Tax Exempt",,,9/1/21,,,7630,NEWSPAPERS AND PERIODICALS,519130,INTERNET PUBLISHING AND BROADCASTING AND W,"Online subscription to MLEX for Financial Services Regulation
(Limit 250 characters)
and Digital Risk",
CONSUMER FINANCIAL PROTECTION BUREAU,OMWI Training Support - Psychological Safety - Termination,1/29/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0009&modNumber=P00001&idvAgencyID=&idvPIID=47QSEA21D004D&contractType=IDV,"$9,999,999 ",BPA,Final,955F9531CB24A0009,P00001,CLOSE OUT,1/27/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,C2DGWDQUC8L5,NEUROLEADERSHIP INSTITUTE INC.,NEW YORK 10,100061428,"Corporate Entity, Not Tax Exempt",,,9/30/24,1/24/25,,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,OMWI Training Support - Psychological Safety - Termination,
CONSUMER FINANCIAL PROTECTION BUREAU,OMWI Training Support  - DEIA Training Termination,1/29/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0008&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA20D003C&contractType=IDV,"$9,999,999 ",BPA,Final,955F 9531CB24A0008,P00001,CLOSE OUT,1/28/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,TMM2M1FJMLD5,CULTUREPOINT LLC,VIRGINIA 08,223032539,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,9/30/24,1/28/25,,U009,EDUCATION/TRAINING- GENERAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,OMWI Training Support - DEIA Training Termination,
CONSUMER FINANCIAL PROTECTION BUREAU,BLOOMBERG GOVERNMENT SUBSCRIPTIONS - EXERCISE OPTION PERIOD 1 AND ADD JAWAD SYEDAIN AS ACOR.,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0100&modNumber=P00002&idvAgencyID=&idvPIID=03310319D0026&contractType=AWARD,"$850,354 ",Delivery/Task Order,Final,955F9531CB23F0100,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,KG5PWYBKVCA5,"BLOOMBERG INDUSTRY GROUP, INC.",VIRGINIA 08,222024506,"Corporate Entity, Not Tax Exempt",,,9/28/23,,,7630,NEWSPAPERS AND PERIODICALS,519190,ALL OTHER INFORMATION SERVICES,"Bloomberg Government Subscriptions - Exercise Option Period 1 and
(Limit 250 characters)add Jawad Syedain as ACOR.",
CONSUMER FINANCIAL PROTECTION BUREAU,POLITICO PRO,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0012&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$635,375 ",Purchase Order,Final,955F9531CB25P0012,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,T8JGE1LE8933,"POLITICO, LLC",VIRGINIA 08,222093927,Partnership or Limited Liability Partnership,,,12/21/24,,,7G21,IT AND TELECOM - NETWORK: DIGITAL NETWORK PR,516210,"MEDIA STREAMING DISTRIBUTION SERVICES, SOCIA",Politico Pro,
CONSUMER FINANCIAL PROTECTION BUREAU,CQ ROLLCALL,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0039&modNumber=P00001&idvAgencyID=&idvPIID=03310323D0031&contractType=AWARD,"$299,250 ",Delivery/Task Order,Final,955F9531CB25F0039,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,FMHKL71EGBX7,"FISCALNOTE, INC.",98,200042460,"Corporate Entity, Not Tax Exempt",,,1/30/25,,,7630,NEWSPAPERS AND PERIODICALS,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,CQ RollCall,
CONSUMER FINANCIAL PROTECTION BUREAU,CQ ROLL CALL SUBSCRIPTION - TERMINATION FOR CONVENIENCE,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0046&modNumber=P00008&idvAgencyID=&idvPIID=03310318DL19C0008&contractType=AWARD,"$245,616 ",Delivery/Task Order,Final,955F9531CB20F0046,P00008,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,N8K7N7GJAZ73,"CQ-ROLL CALL, INC.",DISTRICT OF COLUMBIA 98,200064061,"Corporate Entity, Not Tax Exempt",,,2/29/20,,,7630,NEWSPAPERS AND PERIODICALS,519190,ALL OTHER INFORMATION SERVICES,CQ Roll Call subscription - termination for convenience,
CONSUMER FINANCIAL PROTECTION BUREAU,WALL STREET JOURNAL SBSCRIPTION,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0017&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$216,665 ",Purchase Order,Final,955F9531CB24P0017,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,Q34UKAD7ZCB4,DOW JONES & CO INC,NEW YORK 12,100368711,"Corporate Entity, Not Tax Exempt",,,7/11/24,,,7630,NEWSPAPERS AND PERIODICALS,513110,NEWSPAPER PUBLISHERS,Wall Street Journal Sbscription,
CONSUMER FINANCIAL PROTECTION BUREAU,BLOOMBERG TERMINALS - TERMINATION FOR CONVENIENCE,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,"$178,350 ",Definitive Contract,Final,955F9531CB24C0024,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,PFDZJZ15N3R1,BLOOMBERG FINANCE LP,NEW YORK 12,100221331,Partnership or Limited Liability Partnership,,,9/16/24,,,7H20,IT AND TELECOM - PLATFORM PRODUCTS: DATABAS,518210,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA P",Bloomberg Terminals - Termination for Convenience,
CONSUMER FINANCIAL PROTECTION BUREAU,WASHINGTON POST SUBSCRIPTION,2/11/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0014&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$127,398 ",Purchase Order,Final,955F9531CB25P0014,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/10/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,YQE9NP51VLM4,WP COMPANY LLC,DISTRICT OF COLUMBIA 98,200053317,Partnership or Limited Liability Partnership,,,1/1/25,,,7630,NEWSPAPERS AND PERIODICALS,513110,NEWSPAPER PUBLISHERS,Washington Post Subscription,
